1, none, tectonic:alpine_meadow, MONSTER, minecraft:spider, 80, 4, 4
52, none, biomesoplenty:auroral_garden, CREATURE, minecraft:pig, 10, 4, 4
53, none, biomesoplenty:auroral_garden, CREATURE, minecraft:chicken, 10, 4, 4
54, none, biomesoplenty:auroral_garden, CREATURE, minecraft:cow, 10, 4, 4
55, none, biomesoplenty:auroral_garden, CREATURE, minecraft:fox, 10, 2, 4
56, none, biomesoplenty:auroral_garden, AMBIENT, minecraft:bat, 10, 8, 8
57, none, biomesoplenty:auroral_garden, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
58, none, biomesoplenty:auroral_garden, UNDERGROUND_WATER_CREATURE, species:deepfish, 80, 4, 6
59, none, tectonic:autumn_birch_forest, MONSTER, minecraft:spider, 80, 4, 4
60, none, tectonic:autumn_birch_forest, MONSTER, minecraft:zombie, 80, 4, 4
61, none, tectonic:autumn_birch_forest, MONSTER, minecraft:zombie_villager, 10, 1, 1
62, none, tectonic:autumn_birch_forest, MONSTER, minecraft:skeleton, 80, 4, 4
63, none, tectonic:autumn_birch_forest, MONSTER, minecraft:creeper, 80, 4, 4
64, none, tectonic:autumn_birch_forest, MONSTER, minecraft:slime, 80, 4, 4
65, none, tectonic:autumn_birch_forest, MONSTER, minecraft:enderman, 5, 1, 4
66, none, tectonic:autumn_birch_forest, MONSTER, minecraft:witch, 5, 1, 1
67, none, tectonic:autumn_birch_forest, CREATURE, minecraft:sheep, 12, 4, 4
68, none, tectonic:autumn_birch_forest, CREATURE, minecraft:pig, 10, 4, 4
69, none, tectonic:autumn_birch_forest, CREATURE, minecraft:chicken, 10, 4, 4
70, none, tectonic:autumn_birch_forest, CREATURE, minecraft:cow, 10, 4, 4
71, none, tectonic:autumn_birch_forest, AMBIENT, minecraft:bat, 10, 8, 8
72, none, tectonic:autumn_birch_forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
73, none, tectonic:autumn_forest, MONSTER, minecraft:spider, 80, 4, 4
74, none, tectonic:autumn_forest, MONSTER, minecraft:zombie, 80, 4, 4
75, none, tectonic:autumn_forest, MONSTER, minecraft:zombie_villager, 10, 1, 1
76, none, tectonic:autumn_forest, MONSTER, minecraft:skeleton, 80, 4, 4
77, none, tectonic:autumn_forest, MONSTER, minecraft:creeper, 80, 4, 4
78, none, tectonic:autumn_forest, MONSTER, minecraft:slime, 80, 4, 4
79, none, tectonic:autumn_forest, MONSTER, minecraft:enderman, 5, 1, 4
80, none, tectonic:autumn_forest, MONSTER, minecraft:witch, 5, 1, 1
81, none, tectonic:autumn_forest, CREATURE, minecraft:sheep, 12, 4, 4
82, none, tectonic:autumn_forest, CREATURE, minecraft:pig, 10, 4, 4
83, none, tectonic:autumn_forest, CREATURE, minecraft:chicken, 10, 4, 4
84, none, tectonic:autumn_forest, CREATURE, minecraft:cow, 10, 4, 4
85, none, tectonic:autumn_forest, CREATURE, minecraft:wolf, 10, 4, 4
86, none, tectonic:autumn_forest, AMBIENT, minecraft:bat, 10, 8, 8
87, none, tectonic:autumn_forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
88, badlands, minecraft:badlands, MONSTER, minecraft:spider, 80, 4, 4
89, badlands, minecraft:badlands, MONSTER, minecraft:zombie, 80, 4, 4
90, badlands, minecraft:badlands, MONSTER, minecraft:zombie_villager, 10, 1, 1
91, badlands, minecraft:badlands, MONSTER, minecraft:skeleton, 80, 4, 4
92, badlands, minecraft:badlands, MONSTER, minecraft:creeper, 80, 4, 4
93, badlands, minecraft:badlands, MONSTER, minecraft:slime, 80, 4, 4
94, badlands, minecraft:badlands, MONSTER, minecraft:enderman, 5, 1, 4
95, badlands, minecraft:badlands, MONSTER, minecraft:witch, 5, 1, 1
96, badlands, minecraft:badlands, MONSTER, cactusmod:cactus_creeper, 80, 4, 4
97, badlands, minecraft:badlands, MONSTER, cactusmod:cactus_skeleton, 80, 4, 4
98, badlands, minecraft:badlands, MONSTER, cactusmod:cactus_slime, 80, 2, 2
99, badlands, minecraft:badlands, MONSTER, cactusmod:cactus_spider, 80, 4, 4
100, badlands, minecraft:badlands, MONSTER, enderzoology:concussion_creeper, 25, 4, 4
101, badlands, minecraft:badlands, MONSTER, enderzoology:infested_zombie, 23, 1, 4
102, badlands, minecraft:badlands, MONSTER, enderzoology:fallen_knight, 23, 4, 6
103, badlands, minecraft:badlands, MONSTER, enderzoology:enderminy, 30, 4, 4
104, badlands, minecraft:badlands, MONSTER, enderzoology:wither_witch, 10, 1, 1
105, badlands, minecraft:badlands, CREATURE, minecraft:pig, 10, 2, 2
106, badlands, minecraft:badlands, CREATURE, cactusmod:cactus_cow, 10, 4, 4
107, badlands, minecraft:badlands, CREATURE, cactusmod:cactus_pig, 10, 4, 4
108, badlands, minecraft:badlands, CREATURE, cactusmod:cactus_sheep, 12, 4, 4
109, badlands, minecraft:badlands, CREATURE, species:limpet, 10, 1, 1
110, badlands, minecraft:badlands, CREATURE, species:roombug, 10, 1, 3
111, badlands, minecraft:badlands, AMBIENT, minecraft:bat, 10, 8, 8
112, badlands, minecraft:badlands, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
113, badlands, minecraft:badlands, UNDERGROUND_WATER_CREATURE, species:deepfish, 80, 4, 6
114, none, tectonic:badlands_spires, MONSTER, minecraft:spider, 80, 4, 4
115, none, tectonic:badlands_spires, MONSTER, minecraft:zombie, 80, 4, 4
116, none, tectonic:badlands_spires, MONSTER, minecraft:zombie_villager, 10, 1, 1
117, none, tectonic:badlands_spires, MONSTER, minecraft:skeleton, 80, 4, 4
118, none, tectonic:badlands_spires, MONSTER, minecraft:creeper, 80, 4, 4
119, none, tectonic:badlands_spires, MONSTER, minecraft:slime, 80, 4, 4
120, none, tectonic:badlands_spires, MONSTER, minecraft:enderman, 5, 1, 4
121, none, tectonic:badlands_spires, MONSTER, minecraft:witch, 5, 1, 1
122, none, tectonic:badlands_spires, AMBIENT, minecraft:bat, 10, 8, 8
123, none, tectonic:badlands_spires, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
124, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:spider, 80, 4, 4
125, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:zombie, 80, 4, 4
126, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:zombie_villager, 10, 1, 1
127, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:skeleton, 80, 4, 4
128, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:creeper, 80, 4, 4
129, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:slime, 80, 4, 4
130, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:enderman, 5, 1, 4
131, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:witch, 5, 1, 1
132, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:ocelot, 10, 1, 1
133, jungle, minecraft:bamboo_jungle, MONSTER, enderzoology:concussion_creeper, 25, 4, 4
134, jungle, minecraft:bamboo_jungle, MONSTER, enderzoology:infested_zombie, 23, 1, 4
135, jungle, minecraft:bamboo_jungle, MONSTER, enderzoology:fallen_knight, 23, 4, 6
136, jungle, minecraft:bamboo_jungle, MONSTER, enderzoology:enderminy, 30, 4, 4
137, jungle, minecraft:bamboo_jungle, MONSTER, enderzoology:wither_witch, 10, 1, 1
138, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:sheep, 12, 4, 4
139, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:pig, 10, 4, 4
140, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:chicken, 10, 4, 4
141, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:cow, 10, 4, 4
142, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:chicken, 10, 4, 4
143, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:parrot, 40, 1, 2
144, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:panda, 80, 1, 2
145, jungle, minecraft:bamboo_jungle, CREATURE, species:limpet, 10, 1, 1
146, jungle, minecraft:bamboo_jungle, AMBIENT, minecraft:bat, 10, 8, 8
147, jungle, minecraft:bamboo_jungle, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
148, jungle, minecraft:bamboo_jungle, UNDERGROUND_WATER_CREATURE, species:deepfish, 80, 4, 6
149, nether, minecraft:basalt_deltas, MONSTER, minecraft:ghast, 40, 1, 1
150, nether, minecraft:basalt_deltas, MONSTER, minecraft:magma_cube, 80, 2, 5
151, nether, minecraft:basalt_deltas, MONSTER, minecraft:zombified_piglin, 10, 1, 4
152, nether, minecraft:basalt_deltas, CREATURE, minecraft:strider, 60, 1, 2
153, swamp, biomesoplenty:bayou, MONSTER, minecraft:spider, 80, 4, 4
154, swamp, biomesoplenty:bayou, MONSTER, minecraft:zombie, 80, 4, 4
155, swamp, biomesoplenty:bayou, MONSTER, minecraft:zombie_villager, 10, 1, 1
156, swamp, biomesoplenty:bayou, MONSTER, minecraft:skeleton, 80, 4, 4
157, swamp, biomesoplenty:bayou, MONSTER, minecraft:creeper, 80, 4, 4
158, swamp, biomesoplenty:bayou, MONSTER, minecraft:slime, 80, 4, 4
159, swamp, biomesoplenty:bayou, MONSTER, minecraft:enderman, 5, 1, 4
160, swamp, biomesoplenty:bayou, MONSTER, minecraft:witch, 5, 1, 1
161, swamp, biomesoplenty:bayou, CREATURE, minecraft:pig, 10, 4, 4
162, swamp, biomesoplenty:bayou, CREATURE, minecraft:frog, 10, 2, 5
163, swamp, biomesoplenty:bayou, AMBIENT, minecraft:bat, 10, 8, 8
164, swamp, biomesoplenty:bayou, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
165, swamp, biomesoplenty:bayou, UNDERGROUND_WATER_CREATURE, species:deepfish, 80, 4, 6
166, beach, minecraft:beach, MONSTER, minecraft:spider, 80, 4, 4
167, beach, minecraft:beach, MONSTER, minecraft:zombie, 80, 4, 4
168, beach, minecraft:beach, MONSTER, minecraft:zombie_villager, 10, 1, 1
169, beach, minecraft:beach, MONSTER, minecraft:skeleton, 80, 4, 4
170, beach, minecraft:beach, MONSTER, minecraft:creeper, 80, 4, 4
171, beach, minecraft:beach, MONSTER, minecraft:slime, 80, 4, 4
172, beach, minecraft:beach, MONSTER, minecraft:enderman, 5, 1, 4
173, beach, minecraft:beach, MONSTER, minecraft:witch, 5, 1, 1
174, beach, minecraft:beach, MONSTER, cactusmod:cactus_creeper, 80, 4, 4
175, beach, minecraft:beach, MONSTER, cactusmod:cactus_skeleton, 80, 4, 4
176, beach, minecraft:beach, MONSTER, cactusmod:cactus_slime, 80, 2, 2
177, beach, minecraft:beach, MONSTER, cactusmod:cactus_spider, 80, 4, 4
178, beach, minecraft:beach, MONSTER, enderzoology:concussion_creeper, 25, 4, 4
179, beach, minecraft:beach, MONSTER, enderzoology:infested_zombie, 23, 1, 4
180, beach, minecraft:beach, MONSTER, enderzoology:fallen_knight, 23, 4, 6
181, beach, minecraft:beach, MONSTER, enderzoology:enderminy, 30, 4, 4
182, beach, minecraft:beach, MONSTER, enderzoology:wither_witch, 10, 1, 1
183, beach, minecraft:beach, CREATURE, minecraft:turtle, 10, 2, 5
184, beach, minecraft:beach, CREATURE, minecraft:pig, 10, 2, 2
185, beach, minecraft:beach, CREATURE, cactusmod:cactus_cow, 10, 4, 4
186, beach, minecraft:beach, CREATURE, cactusmod:cactus_pig, 10, 4, 4
187, beach, minecraft:beach, CREATURE, cactusmod:cactus_sheep, 12, 4, 4
188, beach, minecraft:beach, CREATURE, species:limpet, 10, 1, 1
189, beach, minecraft:beach, AMBIENT, minecraft:bat, 10, 8, 8
190, beach, minecraft:beach, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
191, beach, minecraft:beach, UNDERGROUND_WATER_CREATURE, species:deepfish, 80, 4, 6
192, forest, minecraft:birch_forest, MONSTER, minecraft:spider, 80, 4, 4
193, forest, minecraft:birch_forest, MONSTER, minecraft:zombie, 80, 4, 4
194, forest, minecraft:birch_forest, MONSTER, minecraft:zombie_villager, 10, 1, 1
195, forest, minecraft:birch_forest, MONSTER, minecraft:skeleton, 80, 4, 4
196, forest, minecraft:birch_forest, MONSTER, minecraft:creeper, 80, 4, 4
197, forest, minecraft:birch_forest, MONSTER, minecraft:slime, 80, 4, 4
198, forest, minecraft:birch_forest, MONSTER, minecraft:enderman, 5, 1, 4
199, forest, minecraft:birch_forest, MONSTER, minecraft:witch, 5, 1, 1
200, forest, minecraft:birch_forest, MONSTER, enderzoology:concussion_creeper, 25, 4, 4
201, forest, minecraft:birch_forest, MONSTER, enderzoology:infested_zombie, 23, 1, 4
202, forest, minecraft:birch_forest, MONSTER, enderzoology:fallen_knight, 23, 4, 6
203, forest, minecraft:birch_forest, MONSTER, enderzoology:enderminy, 30, 4, 4
204, forest, minecraft:birch_forest, MONSTER, enderzoology:wither_witch, 10, 1, 1
205, forest, minecraft:birch_forest, CREATURE, minecraft:sheep, 12, 4, 4
206, forest, minecraft:birch_forest, CREATURE, minecraft:pig, 10, 4, 4
207, forest, minecraft:birch_forest, CREATURE, minecraft:chicken, 10, 4, 4
208, forest, minecraft:birch_forest, CREATURE, minecraft:cow, 10, 4, 4
209, forest, minecraft:birch_forest, CREATURE, species:limpet, 10, 1, 1
210, forest, minecraft:birch_forest, CREATURE, lostfeatures:moobloom, 10, 2, 4
211, forest, minecraft:birch_forest, AMBIENT, minecraft:bat, 10, 8, 8
212, forest, minecraft:birch_forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
213, forest, minecraft:birch_forest, UNDERGROUND_WATER_CREATURE, species:deepfish, 80, 4, 6
214, swamp, biomesoplenty:bog, MONSTER, minecraft:spider, 80, 4, 4
215, swamp, biomesoplenty:bog, MONSTER, minecraft:zombie, 80, 4, 4
216, swamp, biomesoplenty:bog, MONSTER, minecraft:zombie_villager, 10, 1, 1
217, swamp, biomesoplenty:bog, MONSTER, minecraft:skeleton, 80, 4, 4
218, swamp, biomesoplenty:bog, MONSTER, minecraft:creeper, 80, 4, 4
219, swamp, biomesoplenty:bog, MONSTER, minecraft:slime, 80, 4, 4
220, swamp, biomesoplenty:bog, MONSTER, minecraft:enderman, 5, 1, 4
221, swamp, biomesoplenty:bog, MONSTER, minecraft:witch, 5, 1, 1
222, swamp, biomesoplenty:bog, AMBIENT, minecraft:bat, 10, 8, 8
223, swamp, biomesoplenty:bog, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
224, swamp, biomesoplenty:bog, UNDERGROUND_WATER_CREATURE, species:deepfish, 80, 4, 6
225, extreme_hills, minecraft:cherry_grove, MONSTER, minecraft:spider, 80, 4, 4
226, extreme_hills, minecraft:cherry_grove, MONSTER, minecraft:zombie, 80, 4, 4
227, extreme_hills, minecraft:cherry_grove, MONSTER, minecraft:zombie_villager, 10, 1, 1
228, extreme_hills, minecraft:cherry_grove, MONSTER, minecraft:skeleton, 80, 4, 4
229, extreme_hills, minecraft:cherry_grove, MONSTER, minecraft:creeper, 80, 4, 4
230, extreme_hills, minecraft:cherry_grove, MONSTER, minecraft:slime, 80, 4, 4
231, extreme_hills, minecraft:cherry_grove, MONSTER, minecraft:enderman, 5, 1, 4
232, extreme_hills, minecraft:cherry_grove, MONSTER, minecraft:witch, 5, 1, 1
233, extreme_hills, minecraft:cherry_grove, MONSTER, enderzoology:concussion_creeper, 25, 4, 4
234, extreme_hills, minecraft:cherry_grove, MONSTER, enderzoology:infested_zombie, 23, 1, 4
235, extreme_hills, minecraft:cherry_grove, MONSTER, enderzoology:fallen_knight, 23, 4, 6
236, extreme_hills, minecraft:cherry_grove, MONSTER, enderzoology:enderminy, 30, 4, 4
237, extreme_hills, minecraft:cherry_grove, MONSTER, enderzoology:wither_witch, 10, 1, 1
238, extreme_hills, minecraft:cherry_grove, CREATURE, minecraft:pig, 10, 1, 2
239, extreme_hills, minecraft:cherry_grove, CREATURE, minecraft:rabbit, 10, 2, 6
240, extreme_hills, minecraft:cherry_grove, CREATURE, minecraft:sheep, 10, 2, 4
241, extreme_hills, minecraft:cherry_grove, CREATURE, enderzoology:owl, 10, 2, 6
242, extreme_hills, minecraft:cherry_grove, AMBIENT, minecraft:bat, 10, 8, 8
243, extreme_hills, minecraft:cherry_grove, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
244, extreme_hills, minecraft:cherry_grove, UNDERGROUND_WATER_CREATURE, species:deepfish, 80, 4, 6
245, none, biomesoplenty:clover_patch, MONSTER, minecraft:spider, 80, 4, 4
246, none, biomesoplenty:clover_patch, MONSTER, minecraft:zombie, 80, 4, 4
247, none, biomesoplenty:clover_patch, MONSTER, minecraft:zombie_villager, 10, 1, 1
248, none, biomesoplenty:clover_patch, MONSTER, minecraft:skeleton, 80, 4, 4
249, none, biomesoplenty:clover_patch, MONSTER, minecraft:creeper, 80, 4, 4
250, none, biomesoplenty:clover_patch, MONSTER, minecraft:slime, 80, 4, 4
251, none, biomesoplenty:clover_patch, MONSTER, minecraft:enderman, 5, 1, 4
252, none, biomesoplenty:clover_patch, MONSTER, minecraft:witch, 5, 1, 1
253, none, biomesoplenty:clover_patch, CREATURE, minecraft:sheep, 12, 4, 4
254, none, biomesoplenty:clover_patch, CREATURE, minecraft:pig, 10, 4, 4
255, none, biomesoplenty:clover_patch, CREATURE, minecraft:chicken, 10, 4, 4
256, none, biomesoplenty:clover_patch, CREATURE, minecraft:cow, 10, 4, 4
257, none, biomesoplenty:clover_patch, CREATURE, horse_colors:donkey, 10, 1, 3
258, none, biomesoplenty:clover_patch, CREATURE, horse_colors:horse_felinoid, 10, 2, 6
259, none, biomesoplenty:clover_patch, AMBIENT, minecraft:bat, 10, 8, 8
260, none, biomesoplenty:clover_patch, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
261, none, biomesoplenty:clover_patch, UNDERGROUND_WATER_CREATURE, species:deepfish, 80, 4, 6
262, none, tectonic:cold_beach, MONSTER, minecraft:spider, 80, 4, 4
263, none, tectonic:cold_beach, MONSTER, minecraft:zombie, 80, 4, 4
264, none, tectonic:cold_beach, MONSTER, minecraft:zombie_villager, 10, 1, 1
265, none, tectonic:cold_beach, MONSTER, minecraft:skeleton, 80, 4, 4
266, none, tectonic:cold_beach, MONSTER, minecraft:creeper, 80, 4, 4
267, none, tectonic:cold_beach, MONSTER, minecraft:slime, 80, 4, 4
268, none, tectonic:cold_beach, MONSTER, minecraft:enderman, 5, 1, 4
269, none, tectonic:cold_beach, MONSTER, minecraft:witch, 5, 1, 1
270, none, tectonic:cold_beach, CREATURE, minecraft:turtle, 10, 2, 5
271, none, tectonic:cold_beach, AMBIENT, minecraft:bat, 10, 8, 8
272, none, tectonic:cold_beach, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
273, none, tectonic:cold_cliffs, MONSTER, minecraft:spider, 80, 4, 4
274, none, tectonic:cold_cliffs, MONSTER, minecraft:zombie, 80, 4, 4
275, none, tectonic:cold_cliffs, MONSTER, minecraft:zombie_villager, 10, 1, 1
276, none, tectonic:cold_cliffs, MONSTER, minecraft:skeleton, 80, 4, 4
277, none, tectonic:cold_cliffs, MONSTER, minecraft:creeper, 80, 4, 4
278, none, tectonic:cold_cliffs, MONSTER, minecraft:slime, 80, 4, 4
279, none, tectonic:cold_cliffs, MONSTER, minecraft:enderman, 5, 1, 4
280, none, tectonic:cold_cliffs, MONSTER, minecraft:witch, 5, 1, 1
281, none, tectonic:cold_cliffs, AMBIENT, minecraft:bat, 10, 8, 8
282, none, tectonic:cold_cliffs, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
283, none, biomesoplenty:cold_desert, MONSTER, minecraft:spider, 80, 4, 4
284, none, biomesoplenty:cold_desert, MONSTER, minecraft:zombie, 80, 4, 4
285, none, biomesoplenty:cold_desert, MONSTER, minecraft:zombie_villager, 10, 1, 1
286, none, biomesoplenty:cold_desert, MONSTER, minecraft:skeleton, 80, 4, 4
287, none, biomesoplenty:cold_desert, MONSTER, minecraft:creeper, 80, 4, 4
288, none, biomesoplenty:cold_desert, MONSTER, minecraft:slime, 80, 4, 4
289, none, biomesoplenty:cold_desert, MONSTER, minecraft:enderman, 5, 1, 4
290, none, biomesoplenty:cold_desert, MONSTER, minecraft:witch, 5, 1, 1
291, none, biomesoplenty:cold_desert, CREATURE, minecraft:polar_bear, 10, 1, 2
292, none, biomesoplenty:cold_desert, AMBIENT, minecraft:bat, 10, 8, 8
293, none, biomesoplenty:cold_desert, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
294, none, biomesoplenty:cold_desert, UNDERGROUND_WATER_CREATURE, species:deepfish, 80, 4, 6
295, ocean, minecraft:cold_ocean, MONSTER, minecraft:spider, 80, 4, 4
296, ocean, minecraft:cold_ocean, MONSTER, minecraft:zombie, 80, 4, 4
297, ocean, minecraft:cold_ocean, MONSTER, minecraft:zombie_villager, 10, 1, 1
298, ocean, minecraft:cold_ocean, MONSTER, minecraft:skeleton, 80, 4, 4
299, ocean, minecraft:cold_ocean, MONSTER, minecraft:creeper, 80, 4, 4
300, ocean, minecraft:cold_ocean, MONSTER, minecraft:slime, 80, 4, 4
301, ocean, minecraft:cold_ocean, MONSTER, minecraft:enderman, 5, 1, 4
302, ocean, minecraft:cold_ocean, MONSTER, minecraft:witch, 5, 1, 1
303, ocean, minecraft:cold_ocean, MONSTER, minecraft:drowned, 10, 1, 1
304, ocean, minecraft:cold_ocean, MONSTER, enderzoology:concussion_creeper, 25, 4, 4
305, ocean, minecraft:cold_ocean, MONSTER, enderzoology:infested_zombie, 23, 1, 4
306, ocean, minecraft:cold_ocean, MONSTER, enderzoology:fallen_knight, 23, 4, 6
307, ocean, minecraft:cold_ocean, MONSTER, enderzoology:enderminy, 30, 4, 4
308, ocean, minecraft:cold_ocean, MONSTER, enderzoology:wither_witch, 10, 1, 1
309, ocean, minecraft:cold_ocean, CREATURE, species:limpet, 10, 1, 1
310, ocean, minecraft:cold_ocean, AMBIENT, minecraft:bat, 10, 8, 8
311, ocean, minecraft:cold_ocean, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
312, ocean, minecraft:cold_ocean, UNDERGROUND_WATER_CREATURE, species:deepfish, 80, 4, 6
313, ocean, minecraft:cold_ocean, WATER_CREATURE, minecraft:squid, 10, 1, 4
314, ocean, minecraft:cold_ocean, WATER_AMBIENT, minecraft:cod, 15, 3, 6
315, ocean, minecraft:cold_ocean, WATER_AMBIENT, minecraft:salmon, 15, 1, 5
316, none, tectonic:cold_plains, MONSTER, minecraft:spider, 80, 4, 4
317, none, tectonic:cold_plains, MONSTER, minecraft:zombie, 80, 4, 4
318, none, tectonic:cold_plains, MONSTER, minecraft:zombie_villager, 10, 1, 1
319, none, tectonic:cold_plains, MONSTER, minecraft:skeleton, 80, 4, 4
320, none, tectonic:cold_plains, MONSTER, minecraft:creeper, 80, 4, 4
