1, structory:abandoned_camp, HEADING, header:ignore, 0, 0, 0
112, towns_and_towers:exclusives/pillager_outpost_classic, MONSTER, minecraft:pillager, 10, 1, 2
113, towns_and_towers:exclusives/pillager_outpost_iberian, HEADING, header:ignore, 0, 0, 0
114, towns_and_towers:exclusives/pillager_outpost_iberian, MONSTER, minecraft:pillager, 10, 1, 2
115, towns_and_towers:exclusives/pillager_outpost_mediterranean, HEADING, header:ignore, 0, 0, 0
116, towns_and_towers:exclusives/pillager_outpost_mediterranean, MONSTER, minecraft:pillager, 10, 1, 2
117, towns_and_towers:exclusives/pillager_outpost_oriental, HEADING, header:ignore, 0, 0, 0
118, towns_and_towers:exclusives/pillager_outpost_oriental, MONSTER, minecraft:pillager, 10, 1, 2
119, towns_and_towers:exclusives/pillager_outpost_rustic, HEADING, header:ignore, 0, 0, 0
120, towns_and_towers:exclusives/pillager_outpost_rustic, MONSTER, minecraft:pillager, 10, 1, 2
121, towns_and_towers:exclusives/pillager_outpost_swedish, HEADING, header:ignore, 0, 0, 0
122, towns_and_towers:exclusives/pillager_outpost_swedish, MONSTER, minecraft:pillager, 10, 1, 2
123, towns_and_towers:exclusives/pillager_outpost_tudor, HEADING, header:ignore, 0, 0, 0
124, towns_and_towers:exclusives/pillager_outpost_tudor, MONSTER, minecraft:pillager, 10, 1, 2
125, towns_and_towers:exclusives/village_classic, HEADING, header:ignore, 0, 0, 0
126, towns_and_towers:exclusives/village_iberian, HEADING, header:ignore, 0, 0, 0
127, towns_and_towers:exclusives/village_mediterranean, HEADING, header:ignore, 0, 0, 0
128, towns_and_towers:exclusives/village_nilotic, HEADING, header:ignore, 0, 0, 0
129, towns_and_towers:exclusives/village_rustic, HEADING, header:ignore, 0, 0, 0
130, towns_and_towers:exclusives/village_swedish, HEADING, header:ignore, 0, 0, 0
131, towns_and_towers:exclusives/village_tudor, HEADING, header:ignore, 0, 0, 0
132, towns_and_towers:exclusives/village_wandering_trader_camp, HEADING, header:ignore, 0, 0, 0
133, structory_towers:farmer_outpost, HEADING, header:ignore, 0, 0, 0
134, philipsruins:field_stone_ruins, HEADING, header:ignore, 0, 0, 0
135, philipsruins:field_stone_ruins, MONSTER, minecraft:skeleton, 10, 2, 10
136, philipsruins:field_stone_ruins, MONSTER, minecraft:zombie, 12, 5, 12
137, philipsruins:field_stone_ruins_rocks, HEADING, header:ignore, 0, 0, 0
138, structory:firetower, HEADING, header:ignore, 0, 0, 0
139, nova_structures:firewatch_tower_birch, HEADING, header:ignore, 0, 0, 0
140, nova_structures:firewatch_tower_cherry, HEADING, header:ignore, 0, 0, 0
141, nova_structures:firewatch_tower_dark_oak, HEADING, header:ignore, 0, 0, 0
142, nova_structures:firewatch_tower_forest, HEADING, header:ignore, 0, 0, 0
143, nova_structures:firewatch_tower_jungle, HEADING, header:ignore, 0, 0, 0
144, nova_structures:firewatch_tower_mangrove, HEADING, header:ignore, 0, 0, 0
145, nova_structures:firewatch_tower_savanna, HEADING, header:ignore, 0, 0, 0
146, nova_structures:firewatch_tower_swamp, HEADING, header:ignore, 0, 0, 0
147, nova_structures:firewatch_tower_taiga, HEADING, header:ignore, 0, 0, 0
148, dungeons_arise:fishing_hut, HEADING, header:ignore, 0, 0, 0
149, imst:flowerdome, HEADING, header:ignore, 0, 0, 0
150, structory_towers:foraging_outpost, HEADING, header:ignore, 0, 0, 0
151, incendium:forbidden_castle, HEADING, header:ignore, 0, 0, 0
152, minecraft:fortress, HEADING, header:ignore, 0, 0, 0
153, minecraft:fortress, MONSTER, minecraft:blaze, 10, 2, 3
154, minecraft:fortress, MONSTER, lostfeatures:wildfire, 10, 1, 1
155, minecraft:fortress, MONSTER, minecraft:zombified_piglin, 10, 4, 4
156, minecraft:fortress, MONSTER, minecraft:wither_skeleton, 10, 5, 5
157, minecraft:fortress, MONSTER, minecraft:skeleton, 10, 5, 5
158, minecraft:fortress, MONSTER, minecraft:magma_cube, 10, 4, 4
159, repurposed_structures:fortress_jungle, HEADING, header:ignore, 0, 0, 0
160, repurposed_structures:fortress_jungle, MONSTER, minecraft:wither_skeleton, 10, 1, 1
161, repurposed_structures:fortress_jungle, MONSTER, minecraft:skeleton, 10, 1, 3
162, repurposed_structures:fortress_jungle, MONSTER, minecraft:zombie, 10, 1, 4
163, repurposed_structures:fortress_jungle, MONSTER, minecraft:spider, 10, 1, 3
164, repurposed_structures:fortress_jungle, MONSTER, minecraft:creeper, 10, 1, 2
165, repurposed_structures:fortress_jungle, MONSTER, minecraft:enderman, 10, 1, 2
166, repurposed_structures:fortress_jungle, MONSTER, minecraft:witch, 10, 1, 2
167, stellarity:fossil, HEADING, header:ignore, 0, 0, 0
168, imst:fossil_swamp, HEADING, header:ignore, 0, 0, 0
169, dungeons_arise:foundry, HEADING, header:ignore, 0, 0, 0
170, awesomedungeonocean:frigate_large, HEADING, header:ignore, 0, 0, 0
171, awesomedungeonocean:frigate_medium, HEADING, header:ignore, 0, 0, 0
172, dungeons_arise:giant_mushroom, HEADING, header:ignore, 0, 0, 0
173, totw_modded:glacio, HEADING, header:ignore, 0, 0, 0
174, structory:graveyard, HEADING, header:ignore, 0, 0, 0
175, structory_towers:great_toadstool, HEADING, header:ignore, 0, 0, 0
176, dungeons_arise:greenwood_pub, HEADING, header:ignore, 0, 0, 0
177, ars_nouveau:guardian_wilden_den, HEADING, header:ignore, 0, 0, 0
178, ars_nouveau:guardian_wilden_den, MONSTER, ars_nouveau:wilden_guardian, 10, 1, 3
179, explorify:guide_post_cold, HEADING, header:ignore, 0, 0, 0
180, explorify:guide_post_warm, HEADING, header:ignore, 0, 0, 0
181, nova_structures:hamlet, HEADING, header:ignore, 0, 0, 0
182, dungeons_arise:heavenly_challenger, HEADING, header:ignore, 0, 0, 0
183, dungeons_arise:heavenly_conqueror, HEADING, header:ignore, 0, 0, 0
184, dungeons_arise:heavenly_rider, HEADING, header:ignore, 0, 0, 0
185, hunterillager:hunter_house, HEADING, header:ignore, 0, 0, 0
186, ars_nouveau:hunter_wilden_den, HEADING, header:ignore, 0, 0, 0
187, ars_nouveau:hunter_wilden_den, MONSTER, ars_nouveau:wilden_hunter, 10, 3, 3
188, totw_modded:ice, HEADING, header:ignore, 0, 0, 0
189, aquamirae:ice_maze/arch, HEADING, header:ignore, 0, 0, 0
190, aquamirae:ice_maze/arch, MONSTER, aquamirae:maw, 50, 1, 2
191, aquamirae:ice_maze/arch, AMBIENT, aquamirae:golden_moth, 10, 1, 2
192, aquamirae:ice_maze/common, HEADING, header:ignore, 0, 0, 0
193, aquamirae:ice_maze/common, MONSTER, aquamirae:maw, 50, 1, 2
194, aquamirae:ice_maze/spiral, HEADING, header:ignore, 0, 0, 0
195, aquamirae:ice_maze/spiral, MONSTER, aquamirae:maw, 50, 2, 6
196, imst:igloo, HEADING, header:ignore, 0, 0, 0
197, imst:igloo, MONSTER, minecraft:zombie_villager, 10, 1, 1
198, minecraft:igloo, HEADING, header:ignore, 0, 0, 0
199, repurposed_structures:igloo_grassy, HEADING, header:ignore, 0, 0, 0
200, repurposed_structures:igloo_mangrove, HEADING, header:ignore, 0, 0, 0
201, repurposed_structures:igloo_mushroom, HEADING, header:ignore, 0, 0, 0
202, repurposed_structures:igloo_stone, HEADING, header:ignore, 0, 0, 0
203, nova_structures:illager_camp, HEADING, header:ignore, 0, 0, 0
204, dungeons_arise:illager_campsite, HEADING, header:ignore, 0, 0, 0
205, dungeons_arise:illager_corsair, HEADING, header:ignore, 0, 0, 0
206, dungeons_arise:illager_fort, HEADING, header:ignore, 0, 0, 0
207, dungeons_arise:illager_galley, HEADING, header:ignore, 0, 0, 0
208, nova_structures:illager_hideout, HEADING, header:ignore, 0, 0, 0
209, minecraft:illager_manor, HEADING, header:ignore, 0, 0, 0
210, dungeons_arise:illager_windmill, HEADING, header:ignore, 0, 0, 0
211, minecolonies:incan_colony, HEADING, header:ignore, 0, 0, 0
212, minecolonies:incan_colony, CREATURE, minecraft:cat, 80, 1, 2
213, incendium:infernal_altar, HEADING, header:ignore, 0, 0, 0
214, dungeons_arise:infested_temple, HEADING, header:ignore, 0, 0, 0
215, totw_modded:jungle, HEADING, header:ignore, 0, 0, 0
216, awesomedungeon:jungle_giant_tree, HEADING, header:ignore, 0, 0, 0
217, minecraft:jungle_pyramid, HEADING, header:ignore, 0, 0, 0
218, structory:jungle_ruin, HEADING, header:ignore, 0, 0, 0
219, structory:jungle_ruin, MONSTER, minecraft:creeper, 10, 4, 4
220, nova_structures:jungle_ruins, HEADING, header:ignore, 0, 0, 0
221, dungeons_arise:jungle_tree_house, HEADING, header:ignore, 0, 0, 0
222, dungeons_arise:keep_kayra, HEADING, header:ignore, 0, 0, 0
223, kobolds:kobold_den_large, HEADING, header:ignore, 0, 0, 0
224, kobolds:kobold_den_mountain, HEADING, header:ignore, 0, 0, 0
225, kobolds:kobold_den_pirate, HEADING, header:ignore, 0, 0, 0
226, kobolds:kobold_den_small, HEADING, header:ignore, 0, 0, 0
227, kobolds:kobold_dungeon_desert, HEADING, header:ignore, 0, 0, 0
228, philipsruins:level_one_ruins, HEADING, header:ignore, 0, 0, 0
229, philipsruins:level_one_ruins, MONSTER, minecraft:skeleton, 10, 2, 10
230, philipsruins:level_one_ruins, MONSTER, minecraft:zombie, 12, 5, 12
231, philipsruins:level_three_ruins, HEADING, header:ignore, 0, 0, 0
232, philipsruins:level_two_ruins, HEADING, header:ignore, 0, 0, 0
233, philipsruins:level_two_ruins_pool, HEADING, header:ignore, 0, 0, 0
234, dungeons_arise:lighthouse, HEADING, header:ignore, 0, 0, 0
235, structory_towers:lighthouse, HEADING, header:ignore, 0, 0, 0
236, tlc:lost_castle, HEADING, header:ignore, 0, 0, 0
237, philipsruins:lost_soul_dungeon, HEADING, header:ignore, 0, 0, 0
238, philipsruins:lost_soul_dungeon, MONSTER, minecraft:wither_skeleton, 10, 1, 5
239, minecolonies:lostmesacity_colony, HEADING, header:ignore, 0, 0, 0
240, minecolonies:lostmesacity_colony, CREATURE, minecraft:cat, 80, 1, 2
241, imst:lumberjack/acacia_hut, HEADING, header:ignore, 0, 0, 0
242, imst:lumberjack/birch_hut, HEADING, header:ignore, 0, 0, 0
243, imst:lumberjack/dark_oak_hut, HEADING, header:ignore, 0, 0, 0
244, imst:lumberjack/jungle_hut, HEADING, header:ignore, 0, 0, 0
245, imst:lumberjack/mangrove_hut, HEADING, header:ignore, 0, 0, 0
246, imst:lumberjack/oak_hut, HEADING, header:ignore, 0, 0, 0
247, imst:lumberjack/spruce_hut, HEADING, header:ignore, 0, 0, 0
248, ad_astra:lunar_tower, HEADING, header:ignore, 0, 0, 0
249, ad_astra:lunarian_village, HEADING, header:ignore, 0, 0, 0
250, solarcraft:magician_tower, HEADING, header:ignore, 0, 0, 0
251, nova_structures:mangrove_witch_hut, HEADING, header:ignore, 0, 0, 0
252, nova_structures:mangrove_witch_hut, MONSTER, minecraft:witch, 10, 1, 1
253, nova_structures:mangrove_witch_hut, CREATURE, minecraft:cat, 10, 1, 1
254, minecraft:mansion, HEADING, header:ignore, 0, 0, 0
255, repurposed_structures:mansion_birch, HEADING, header:ignore, 0, 0, 0
256, repurposed_structures:mansion_desert, HEADING, header:ignore, 0, 0, 0
257, repurposed_structures:mansion_jungle, HEADING, header:ignore, 0, 0, 0
258, repurposed_structures:mansion_mangrove, HEADING, header:ignore, 0, 0, 0
259, repurposed_structures:mansion_oak, HEADING, header:ignore, 0, 0, 0
260, repurposed_structures:mansion_savanna, HEADING, header:ignore, 0, 0, 0
261, repurposed_structures:mansion_snowy, HEADING, header:ignore, 0, 0, 0
262, repurposed_structures:mansion_taiga, HEADING, header:ignore, 0, 0, 0
263, totw_modded:mars, HEADING, header:ignore, 0, 0, 0
264, ad_astra:mars_temple, HEADING, header:ignore, 0, 0, 0
265, explorify:mausoleum, HEADING, header:ignore, 0, 0, 0
266, minecolonies:medieval_birch_colony, HEADING, header:ignore, 0, 0, 0
267, minecolonies:medieval_birch_colony, CREATURE, minecraft:cat, 80, 1, 2
268, minecolonies:medieval_dark_oak_colony, HEADING, header:ignore, 0, 0, 0
269, minecolonies:medieval_dark_oak_colony, CREATURE, minecraft:cat, 80, 1, 2
270, minecolonies:medieval_oak_colony, HEADING, header:ignore, 0, 0, 0
271, minecolonies:medieval_oak_colony, CREATURE, minecraft:cat, 80, 1, 2
272, minecolonies:medieval_spruce_colony, HEADING, header:ignore, 0, 0, 0
273, minecolonies:medieval_spruce_colony, CREATURE, minecraft:cat, 80, 1, 2
274, dungeons_arise:merchant_campsite, HEADING, header:ignore, 0, 0, 0
275, totw_modded:mercury, HEADING, header:ignore, 0, 0, 0
276, ad_astra:meteor, HEADING, header:ignore, 0, 0, 0
277, ae2:meteorite, HEADING, header:ignore, 0, 0, 0
278, towns_and_towers:mimic_desert, HEADING, header:ignore, 0, 0, 0
279, minecraft:mineshaft, HEADING, header:ignore, 0, 0, 0
280, minecraft:mineshaft, AMBIENT, alexsmobs:underminer, 50, 1, 1
281, repurposed_structures:mineshaft_birch, HEADING, header:ignore, 0, 0, 0
282, repurposed_structures:mineshaft_birch, AMBIENT, alexsmobs:underminer, 50, 1, 1
283, repurposed_structures:mineshaft_crimson, HEADING, header:ignore, 0, 0, 0
284, repurposed_structures:mineshaft_crimson, AMBIENT, alexsmobs:underminer, 50, 1, 1
285, repurposed_structures:mineshaft_dark_forest, HEADING, header:ignore, 0, 0, 0
286, repurposed_structures:mineshaft_dark_forest, AMBIENT, alexsmobs:underminer, 50, 1, 1
287, repurposed_structures:mineshaft_desert, HEADING, header:ignore, 0, 0, 0
288, repurposed_structures:mineshaft_desert, AMBIENT, alexsmobs:underminer, 50, 1, 1
289, repurposed_structures:mineshaft_end, HEADING, header:ignore, 0, 0, 0
290, repurposed_structures:mineshaft_end, MONSTER, minecraft:endermite, 10, 2, 5
291, repurposed_structures:mineshaft_end, MONSTER, minecraft:enderman, 10, 1, 3
292, repurposed_structures:mineshaft_end, AMBIENT, alexsmobs:underminer, 50, 1, 1
293, repurposed_structures:mineshaft_icy, HEADING, header:ignore, 0, 0, 0
294, repurposed_structures:mineshaft_icy, AMBIENT, alexsmobs:underminer, 50, 1, 1
295, repurposed_structures:mineshaft_jungle, HEADING, header:ignore, 0, 0, 0
296, repurposed_structures:mineshaft_jungle, AMBIENT, alexsmobs:underminer, 50, 1, 1
297, minecraft:mineshaft_mesa, HEADING, header:ignore, 0, 0, 0
298, minecraft:mineshaft_mesa, AMBIENT, alexsmobs:underminer, 50, 1, 1
299, repurposed_structures:mineshaft_nether, HEADING, header:ignore, 0, 0, 0
300, repurposed_structures:mineshaft_nether, AMBIENT, alexsmobs:underminer, 50, 1, 1
301, repurposed_structures:mineshaft_ocean, HEADING, header:ignore, 0, 0, 0
302, repurposed_structures:mineshaft_ocean, AMBIENT, alexsmobs:underminer, 50, 1, 1
303, repurposed_structures:mineshaft_savanna, HEADING, header:ignore, 0, 0, 0
304, repurposed_structures:mineshaft_savanna, AMBIENT, alexsmobs:underminer, 50, 1, 1
305, repurposed_structures:mineshaft_stone, HEADING, header:ignore, 0, 0, 0
306, repurposed_structures:mineshaft_stone, AMBIENT, alexsmobs:underminer, 50, 1, 1
307, repurposed_structures:mineshaft_swamp, HEADING, header:ignore, 0, 0, 0
308, repurposed_structures:mineshaft_swamp, AMBIENT, alexsmobs:underminer, 50, 1, 1
309, repurposed_structures:mineshaft_taiga, HEADING, header:ignore, 0, 0, 0
310, repurposed_structures:mineshaft_taiga, AMBIENT, alexsmobs:underminer, 50, 1, 1
311, repurposed_structures:mineshaft_warped, HEADING, header:ignore, 0, 0, 0
312, repurposed_structures:mineshaft_warped, AMBIENT, alexsmobs:underminer, 50, 1, 1
313, dungeons_arise:mining_system, HEADING, header:ignore, 0, 0, 0
314, structory_towers:mirage_outpost, HEADING, header:ignore, 0, 0, 0
315, dungeons_arise:monastery, HEADING, header:ignore, 0, 0, 0
316, minecraft:monument, HEADING, header:ignore, 0, 0, 0
317, minecraft:monument, MONSTER, minecraft:guardian, 10, 2, 4
318, repurposed_structures:monument_desert, HEADING, header:ignore, 0, 0, 0
319, repurposed_structures:monument_desert, MONSTER, minecraft:husk, 20, 1, 4
320, repurposed_structures:monument_desert, MONSTER, minecraft:creeper, 15, 1, 2
321, repurposed_structures:monument_desert, MONSTER, minecraft:skeleton, 10, 1, 3
322, repurposed_structures:monument_icy, HEADING, header:ignore, 0, 0, 0
323, repurposed_structures:monument_icy, MONSTER, minecraft:stray, 40, 1, 3
324, repurposed_structures:monument_icy, MONSTER, minecraft:vex, 10, 1, 2
325, repurposed_structures:monument_jungle, HEADING, header:ignore, 0, 0, 0
326, repurposed_structures:monument_jungle, MONSTER, minecraft:husk, 20, 1, 4
327, repurposed_structures:monument_jungle, MONSTER, minecraft:creeper, 15, 1, 2
328, repurposed_structures:monument_jungle, MONSTER, minecraft:skeleton, 10, 1, 3
329, repurposed_structures:monument_nether, HEADING, header:ignore, 0, 0, 0
330, repurposed_structures:monument_nether, MONSTER, minecraft:magma_cube, 20, 1, 3
331, repurposed_structures:monument_nether, MONSTER, minecraft:wither_skeleton, 10, 1, 3
332, repurposed_structures:monument_nether, MONSTER, minecraft:ghast, 10, 1, 1
333, totw_modded:moon, HEADING, header:ignore, 0, 0, 0
334, ad_astra:moon_dungeon, HEADING, header:ignore, 0, 0, 0
335, imst:mountain_camp, HEADING, header:ignore, 0, 0, 0
336, awesomedungeon:mushroom_abandonned, HEADING, header:ignore, 0, 0, 0
337, dungeons_arise:mushroom_house, HEADING, header:ignore, 0, 0, 0
338, dungeons_arise:mushroom_mines, HEADING, header:ignore, 0, 0, 0
339, nyctophobia:mushroom_structure, HEADING, header:ignore, 0, 0, 0
340, dungeons_arise:mushroom_village, HEADING, header:ignore, 0, 0, 0
341, totw_modded:nether, HEADING, header:ignore, 0, 0, 0
342, structory_towers:nether/fortress_tower, HEADING, header:ignore, 0, 0, 0
343, structory_towers:nether/strange_outpost, HEADING, header:ignore, 0, 0, 0
344, structory_towers:nether/warped_outpost, HEADING, header:ignore, 0, 0, 0
345, minecraft:nether_fossil, HEADING, header:ignore, 0, 0, 0
346, minecraft:nether_fossil, MONSTER, alexsmobs:soul_vulture, 30, 1, 1
347, minecraft:nether_keep, HEADING, header:ignore, 0, 0, 0
348, minecraft:nether_keep, MONSTER, minecraft:blaze, 10, 2, 3
349, minecraft:nether_keep, MONSTER, minecraft:zombified_piglin, 10, 4, 4
350, minecraft:nether_keep, MONSTER, minecraft:wither_skeleton, 10, 5, 5
351, minecraft:nether_keep, MONSTER, minecraft:skeleton, 10, 5, 5
352, minecraft:nether_keep, MONSTER, minecraft:magma_cube, 10, 4, 4
353, incendium:nether_reactor, HEADING, header:ignore, 0, 0, 0
354, structory_towers:nomad_outpost, HEADING, header:ignore, 0, 0, 0
355, structory:northern_ruin, HEADING, header:ignore, 0, 0, 0
356, awesomedungeonnether:nth_absi_palace, HEADING, header:ignore, 0, 0, 0
357, awesomedungeonnether:nth_accum_quad, HEADING, header:ignore, 0, 0, 0
358, awesomedungeonnether:nth_blaze_tower, HEADING, header:ignore, 0, 0, 0
359, awesomedungeonnether:nth_center_square, HEADING, header:ignore, 0, 0, 0
360, awesomedungeonnether:nth_giant_crimson_tree, HEADING, header:ignore, 0, 0, 0
361, awesomedungeonnether:nth_obsi_house, HEADING, header:ignore, 0, 0, 0
362, imst:observatory, HEADING, header:ignore, 0, 0, 0
363, stellarity:obsidian_spike, HEADING, header:ignore, 0, 0, 0
364, awesomedungeonocean:ocean_cage, HEADING, header:ignore, 0, 0, 0
365, philipsruins:ocean_fortress, HEADING, header:ignore, 0, 0, 0
366, philipsruins:ocean_fortress, MONSTER, minecraft:guardian, 10, 2, 3
367, philipsruins:ocean_fortress, MONSTER, minecraft:drowned, 10, 5, 9
